"RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearEx","DoorType","StNo","HaulNo","Year","SpecCodeType","SpecCode","SpecVal","Sex","TotalNo","CatIdentifier","NoMeas","SubFactor","SubWgt","CatCatchWgt","LngtCode","LngtClass","HLNoAtLngt","DevStage","LenMeasType","DateofCalculation","Valid_Aphia"
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",317,25,2024,"W",126484,2,"M",1,1,1,1,6900,6900,"1",57,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",317,25,2024,"W",126484,2,"F",4,1,4,1,6900,6900,"1",50,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",317,25,2024,"W",126484,2,"F",4,1,4,1,6900,6900,"1",55,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",317,25,2024,"W",126484,2,"F",4,1,4,1,6900,6900,"1",56,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",317,25,2024,"W",126484,2,"F",4,1,4,1,6900,6900,"1",67,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",201,55,2024,"W",126484,2,"M",2,1,2,1,3018,3018,"1",54,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",201,55,2024,"W",126484,2,"M",2,1,2,1,3018,3018,"1",57,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",201,55,2024,"W",126484,2,"F",1,1,1,1,3018,3018,"1",45,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",441,62,2024,"W",126484,2,"M",4,1,4,1,19700,19700,"1",54,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",441,62,2024,"W",126484,2,"M",4,1,4,1,19700,19700,"1",56,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",441,62,2024,"W",126484,2,"M",4,1,4,1,19700,19700,"1",59,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",441,62,2024,"W",126484,2,"M",4,1,4,1,19700,19700,"1",64,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",453,66,2024,"W",126484,2,"M",9,1,9,1,20640,20640,"1",51,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",453,66,2024,"W",126484,2,"M",9,1,9,1,20640,20640,"1",52,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",453,66,2024,"W",126484,2,"M",9,1,9,1,20640,20640,"1",55,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",453,66,2024,"W",126484,2,"M",9,1,9,1,20640,20640,"1",58,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",453,66,2024,"W",126484,2,"M",9,1,9,1,20640,20640,"1",60,2,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",453,66,2024,"W",126484,2,"M",9,1,9,1,20640,20640,"1",62,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",453,66,2024,"W",126484,2,"M",9,1,9,1,20640,20640,"1",64,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",453,66,2024,"W",126484,2,"M",9,1,9,1,20640,20640,"1",65,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",453,66,2024,"W",126484,2,"F",13,1,13,1,20640,20640,"1",47,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",453,66,2024,"W",126484,2,"F",13,1,13,1,20640,20640,"1",48,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",453,66,2024,"W",126484,2,"F",13,1,13,1,20640,20640,"1",49,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",453,66,2024,"W",126484,2,"F",13,1,13,1,20640,20640,"1",52,3,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"M",11,1,11,1,22480,22480,"1",45,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"M",11,1,11,1,22480,22480,"1",48,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"M",11,1,11,1,22480,22480,"1",50,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"M",11,1,11,1,22480,22480,"1",51,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"M",11,1,11,1,22480,22480,"1",52,2,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"M",11,1,11,1,22480,22480,"1",53,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"M",11,1,11,1,22480,22480,"1",54,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"M",11,1,11,1,22480,22480,"1",56,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"M",11,1,11,1,22480,22480,"1",57,2,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"F",12,1,12,1,22480,22480,"1",44,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"F",12,1,12,1,22480,22480,"1",45,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"F",12,1,12,1,22480,22480,"1",46,2,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"F",12,1,12,1,22480,22480,"1",47,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"F",12,1,12,1,22480,22480,"1",49,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"F",12,1,12,1,22480,22480,"1",52,1,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"F",12,1,12,1,22480,22480,"1",53,2,NA,NA,20241218,126484
"HL","SP-PORC",3,"ES","29VE","PORB",250,NA,"P",326,65,2024,"W",126484,2,"F",12,1,12,1,22480,22480,"1",54,1,NA,NA,20241218,126484
